"created_by"	"platform"	"technology"	"utm_east"	"individual"	"species"	"principalInvestigator"	"deployed"	"started"	"deployed_was"	"object"	"row"	"id"	"_rev"	"terminated"	"created"	"updated"	"updated_by"	"utm_north"	"zone"	"link_geometry"	"longitude"	"latitude"
"Eva Fuglei"	49808	"argos"	"null"	1	"Lagopus muta hyperborea"	"Eva Fuglei"			"2009-05-05T06:00:00Z"	"Svalbard rock ptarmigan"	1	"c65da23d-684e-451d-9803-59ec0a216a1e"	"1-38cb9b116ce617ad2e0f4bb32711bfcf"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	"null"	"null"	"null"	"null"	"null"
"Eva Fuglei"	49814	"argos"	8680254	2	"Lagopus muta hyperborea"	"Eva Fuglei"			"2009-05-05T06:00:00Z"	"Svalbard rock ptarmigan"	2	"6f7cbf68-efa0-41f1-84ee-d7080e23350b"	"1-1154019a9c5f9fa85ce6cee014696898"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	527604	33	"http://geodata.npolar.no/ArcGIS/rest/services/geometry/Geometry/GeometryServer/project?inSR=32633&outSR=4326&geometries=527604%2C+8680254&f=pjson"	"null"	"null"
"Eva Fuglei"	80683	"argos"	8680460	3	"Lagopus muta hyperborea"	"Eva Fuglei"	"2008-05-01T00:00:00Z"	"2008-05-03T10:47:20Z"	"2009-05-05T06:00:00Z"	"Svalbard rock ptarmigan"	3	"f26d13a4-424c-45bd-818c-bf3685bec51e"	"1-ba5f385e1c293956fb97a23677954f01"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	528256	33	"null"	"null"	"null"
"Eva Fuglei"	80684	"argos"	8680460	4	"Lagopus muta hyperborea"	"Eva Fuglei"	"2008-05-01T00:00:00Z"		"2009-05-05T06:00:00Z"	"Svalbard rock ptarmigan"	4	"dd3c4824-b1d3-438b-a3e5-521c7582cdd2"	"1-6552d461cb7c17e0f4a2f8628797badf"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	528256	33	"null"	"null"	"null"
"Eva Fuglei"	80685	"argos"	8681408	5	"Lagopus muta hyperborea"	"Eva Fuglei"	"2008-05-01T00:00:00Z"		"2009-05-05T06:00:00Z"	"Svalbard rock ptarmigan"	5	"138eb1ce-4ab0-4c12-92d3-b0636253552e"	"1-c660b1c5e84804794f16151c8664cb59"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	535405	33	"null"	"null"	"null"
"Eva Fuglei"	80686	"argos"	8689812	6	"Lagopus muta hyperborea"	"Eva Fuglei"	"2008-05-01T00:00:00Z"		"2009-05-07T06:00:00Z"	"Svalbard rock ptarmigan"	6	"94f5b8b9-005e-4ef9-a139-870377ab002d"	"1-76a1507880705db225f1f64a4a418441"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	531294	33	"null"	"null"	"null"
"Eva Fuglei"	80687	"argos"	8688780	7	"Lagopus muta hyperborea"	"Eva Fuglei"	"2008-05-01T00:00:00Z"		"2009-05-09T06:00:00Z"	"Svalbard rock ptarmigan"	7	"47a416e2-bdb1-476a-a314-0f2b91206253"	"1-4083213141f0165abeafcdd81244e8d7"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	514425	33	"null"	"null"	"null"
"Eva Fuglei"	80688	"argos"	8681944	8	"Lagopus muta hyperborea"	"Eva Fuglei"	"2008-05-01T00:00:00Z"		"2009-05-09T06:00:00Z"	"Svalbard rock ptarmigan"	8	"7cdce9aa-c8a9-46af-a15c-5f1724a8d726"	"1-4ad76ebdc956f407e86a18be6e3b7b81"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	532003	33	"null"	"null"	"null"
"Eva Fuglei"	83286	"argos"	8680278	9	"Lagopus muta hyperborea"	"Eva Fuglei"	"2008-05-01T00:00:00Z"	"2008-05-03T10:56:02Z"	"2010-05-04T06:00:00Z"	"Svalbard rock ptarmigan"	9	"7d2964a8-0cc4-4f92-9ffd-b3f8f113556e"	"1-ab71759f67853c9d2d8fc247ad9aa36b"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	526570	33	"null"	"null"	"null"
"Eva Fuglei"	83287	"argos"	8680278	10	"Lagopus muta hyperborea"	"Eva Fuglei"	"2008-05-01T00:00:00Z"		"2010-05-04T06:00:00Z"	"Svalbard rock ptarmigan"	10	"345da36e-3fe5-4f7f-8664-875a5737e5ca"	"1-c8f93a649bac6351f13d354ec1146fed"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	526570	33	"null"	"null"	"null"
"Eva Fuglei"	93067	"argos"	8680328	11	"Lagopus muta hyperborea"	"Eva Fuglei"	"2009-04-01T00:00:00Z"	"2009-04-08T13:05:12Z"	"2010-05-04T06:00:00Z"	"Svalbard rock ptarmigan"	11	"82d3aafd-af49-466f-b0f6-c7749440ca5a"	"1-4362a284e95f49b7fe85fc908dcdb7bb"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	526713	33	"null"	"null"	"null"
"Eva Fuglei"	93068	"argos"	8679844	12	"Lagopus muta hyperborea"	"Eva Fuglei"	"2009-04-01T00:00:00Z"		"2010-05-04T06:00:00Z"	"Svalbard rock ptarmigan"	12	"bdd5ee6b-75b7-4a4a-8500-f16cc525511a"	"1-c642e01a19d93232b7087c3f4254c26b"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	527001	33	"null"	"null"	"null"
"Eva Fuglei"	93069	"argos"	8684036	13	"Lagopus muta hyperborea"	"Eva Fuglei"	"2009-04-01T00:00:00Z"		"2010-05-05T06:00:00Z"	"Svalbard rock ptarmigan"	13	"0eef4df8-6ffa-4cd5-8202-171bbf2f87a7"	"1-b96e9ebfbe8cae323916196e2516bbe8"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	519673	33	"null"	"null"	"null"
"Eva Fuglei"	93070	"argos"	8680342	14	"Lagopus muta hyperborea"	"Eva Fuglei"	"2009-04-01T00:00:00Z"		"2010-05-05T06:00:00Z"	"Svalbard rock ptarmigan"	14	"501358d2-41c3-4de3-b060-21871f7f0b53"	"1-0092022e9fa3f02917e28d63dfac5b39"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	525280	33	"null"	"null"	"null"
"Eva Fuglei"	93071	"argos"	8680486	15	"Lagopus muta hyperborea"	"Eva Fuglei"	"2009-04-01T00:00:00Z"		"2010-05-05T06:00:00Z"	"Svalbard rock ptarmigan"	15	"e280c481-7fdf-46d0-9165-d9a97d66bab5"	"1-f54285934a2b85ca4fe2e5220277688c"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	528864	33	"null"	"null"	"null"
"Eva Fuglei"	93072	"argos"	8680486	16	"Lagopus muta hyperborea"	"Eva Fuglei"	"2009-04-01T00:00:00Z"		"2010-05-05T06:00:00Z"	"Svalbard rock ptarmigan"	16	"4a6123fa-efd7-4211-9ab9-4c92e3b73781"	"1-09feba19c6b98821d9cd547309bafe42"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	528864	33	"null"	"null"	"null"
"Eva Fuglei"	93073	"argos"	8681522	17	"Lagopus muta hyperborea"	"Eva Fuglei"	"2009-04-01T00:00:00Z"		"2010-05-05T06:00:00Z"	"Svalbard rock ptarmigan"	17	"75f36613-2814-4aea-bb77-9c7bbd26a78c"	"1-03230babe4837afcd6aeb1177386ecb9"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	535270	33	"null"	"null"	"null"
"Eva Fuglei"	93074	"argos"	8680010	18	"Lagopus muta hyperborea"	"Eva Fuglei"	"2009-04-01T00:00:00Z"		"2010-05-06T06:00:00Z"	"Svalbard rock ptarmigan"	18	"f59aabb2-c33e-4721-8494-36c30ca083f3"	"1-88b3ef576465570847c8fc2e488ff500"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	526285	33	"null"	"null"	"null"
"Eva Fuglei"	93075	"argos"	8683416	19	"Lagopus muta hyperborea"	"Eva Fuglei"	"2009-04-01T00:00:00Z"		"2011-05-12T06:00:00Z"	"Svalbard rock ptarmigan"	19	"19b0fb88-ff03-4dcd-a18d-df8fe2e3cd58"	"1-910b533914b1af26da9ae419533be34a"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	515033	33	"null"	"null"	"null"
"Eva Fuglei"	93076	"argos"	8683416	20	"Lagopus muta hyperborea"	"Eva Fuglei"	"2009-04-01T00:00:00Z"		"2011-05-12T06:00:00Z"	"Svalbard rock ptarmigan"	20	"a131d804-c3bf-46d4-846b-a47774b39db0"	"1-0b5a6d55e92a9687dcb501cb3b8e0d8d"	"2009-04-01T00:59:59Z"	"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	515033	33	"null"	"null"	"null"
"Eva Fuglei"	93076	"argos"	8680318	23	"Lagopus muta hyperborea"	"Eva Fuglei"	"2009-04-01T01:00:00Z"		"2011-05-12T06:00:00Z"	"Svalbard rock ptarmigan"	21	"df3840f8-51f4-47f2-bcc1-7dabc405ab1f"	"1-4231a72d428f979e4cc298148827f41d"		"2013-10-29T20:22:04Z"	"2013-10-29T20:22:04Z"	"conrad"	527749	33	"http://geodata.npolar.no/ArcGIS/rest/services/geometry/Geometry/GeometryServer/project?inSR=32633&outSR=4326&geometries=527749%2C8680318&f=pjson"	"16.2150188144"	"78.1940873642"
